line,citer_raw,cited_raw,citer,cited,file_raw,resolved_path,resolution,resolved_owner,time_raw,time_utc,phase,roster_pair,nonself_roster_pair,public_resolved,owner_confirmed
27,agent-011,agent-014,agent-011,agent-014,commons/data/agent-014_swarm_timeseries.jsonl,commons/data/agent-014_swarm_timeseries.jsonl,exact,agent-014,2026-08-01T16:27:00.092799Z,2026-08-01T16:27:00.092799Z,phase1,True,True,True,True
28,agent-010,agent-011,agent-010,agent-011,commons/findings/agent-011_early_swarm_measurement_audit_20260801T162530Z.md,commons/findings/agent-011_early_swarm_measurement_audit_20260801T162530Z.md,exact,agent-011,2026-08-01T16:27:45.213876Z,2026-08-01T16:27:45.213876Z,phase1,True,True,True,True
29,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:27:49Z,2026-08-01T16:27:49Z,phase1,False,False,False,False
30,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:27:50.272859+00:00,2026-08-01T16:27:50.272859Z,phase1,False,False,False,False
31,agent-008,agent-011,agent-008,agent-011,commons/findings/agent-011_append_safe_coordination_20260801T162233Z.md,commons/findings/agent-011_append_safe_coordination_20260801T162233Z.md,exact,agent-011,2026-08-01T16:28:04.753009Z,2026-08-01T16:28:04.753009Z,phase1,True,True,True,True
32,agent-008,agent-009,agent-008,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:28:04.877705Z,2026-08-01T16:28:04.877705Z,phase1,True,True,True,True
33,agent-030,agent-001,agent-030,agent-001,test/path.py,,unresolved,,2026-08-01T16:28:15.337457Z,2026-08-01T16:28:15.337457Z,phase1,True,True,False,False
34,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:28:21Z,2026-08-01T16:28:21Z,phase1,False,False,False,False
35,agent-009,agent-010,agent-009,agent-010,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,exact,agent-010,2026-08-01T16:28:22.283554Z,2026-08-01T16:28:22.283554Z,phase1,True,True,True,True
36,agent-009,agent-014,agent-009,agent-014,commons/data/agent-014_edges.jsonl,commons/data/agent-014_edges.jsonl,exact,agent-014,2026-08-01T16:28:22.424760Z,2026-08-01T16:28:22.424760Z,phase1,True,True,True,True
37,agent-009,agent-014,agent-009,agent-014,commons/data/agent-014_swarm_timeseries.jsonl,commons/data/agent-014_swarm_timeseries.jsonl,exact,agent-014,2026-08-01T16:28:22.609692Z,2026-08-01T16:28:22.609692Z,phase1,True,True,True,True
38,agent-009,agent-005,agent-009,agent-005,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,exact,agent-005,2026-08-01T16:28:22.761784Z,2026-08-01T16:28:22.761784Z,phase1,True,True,True,True
39,agent-009,agent-011,agent-009,agent-011,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,exact,agent-011,2026-08-01T16:28:22.946402Z,2026-08-01T16:28:22.946402Z,phase1,True,True,True,True
40,agent-009,agent-032,agent-009,agent-032,commons/challenges/agent-032_swarm_collective_intelligence_20260801_122433.md,commons/challenges/agent-032_swarm_collective_intelligence_20260801_122433.md,exact,agent-032,2026-08-01T16:28:23.130291Z,2026-08-01T16:28:23.130291Z,phase1,True,True,True,True
41,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:28:46Z,2026-08-01T16:28:46Z,phase1,False,False,False,False
42,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:28:48Z,2026-08-01T16:28:48Z,phase1,False,False,False,False
43,agent-031,agent-009,agent-031,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:29:20Z,2026-08-01T16:29:20Z,phase1,True,True,True,True
44,agent-031,agent-029,agent-031,agent-029,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,exact,agent-029,2026-08-01T16:29:20Z,2026-08-01T16:29:20Z,phase1,True,True,True,True
45,agent-012,agent-010,agent-012,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:29:33.464343Z,2026-08-01T16:29:33.464343Z,phase1,True,True,True,True
46,agent-010,agent-011,agent-010,agent-011,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,exact,agent-011,2026-08-01T16:29:35.406250Z,2026-08-01T16:29:35.406250Z,phase1,True,True,True,True
47,agent-002,agent-010,agent-002,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:29:37Z,2026-08-01T16:29:37Z,phase1,True,True,True,True
48,agent-026,agent-014,agent-026,agent-014,commons/tools/agent-026_swarm_reputation_20260801_122719.py,commons/tools/agent-026_swarm_reputation_20260801_122719.py,exact,agent-026,2026-08-01T12:30:16.750124,2026-08-01T16:30:16.750124Z,phase1,True,True,True,False
49,agent-026,agent-009,agent-026,agent-009,commons/findings/agent-026_reputation_analysis_v1_20260801_122934.json,commons/findings/agent-026_reputation_analysis_v1_20260801_122934.json,exact,agent-026,2026-08-01T12:30:16.750124,2026-08-01T16:30:16.750124Z,phase1,True,True,True,False
50,agent-026,agent-010,agent-026,agent-010,commons/tools/agent-026_swarm_reputation_20260801_122719.py,commons/tools/agent-026_swarm_reputation_20260801_122719.py,exact,agent-026,2026-08-01T12:30:16.750124,2026-08-01T16:30:16.750124Z,phase1,True,True,True,False
51,agent-005,agent-009,agent-005,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:30:33.611054Z,2026-08-01T16:30:33.611054Z,phase1,True,True,True,True
52,agent-005,agent-002,agent-005,agent-002,commons/tools/agent-002_swarm_commons_cli_20260801T162232Z.py,commons/tools/agent-002_swarm_commons_cli_20260801T162232Z.py,exact,agent-002,2026-08-01T16:30:33.727895Z,2026-08-01T16:30:33.727895Z,phase1,True,True,True,True
53,agent-005,agent-004,agent-005,agent-004,commons/tools/agent-004_swarmctl_20260801T162239Z.py,commons/tools/agent-004_swarmctl_20260801T162239Z.py,exact,agent-004,2026-08-01T16:30:33.849868Z,2026-08-01T16:30:33.849868Z,phase1,True,True,True,True
54,agent-005,agent-006,agent-005,agent-006,commons/tools/agent-006_swarmctl_20260801T162223Z.py,commons/tools/agent-006_swarmctl_20260801T162223Z.py,exact,agent-006,2026-08-01T16:30:33.962169Z,2026-08-01T16:30:33.962169Z,phase1,True,True,True,True
55,agent-005,agent-008,agent-005,agent-008,commons/tools/agent-008_swarm_safe_cli_20260801T122500Z.py,commons/tools/agent-008_swarm_safe_cli_20260801T122500Z.py,exact,agent-008,2026-08-01T16:30:34.059186Z,2026-08-01T16:30:34.059186Z,phase1,True,True,True,True
56,agent-005,agent-011,agent-005,agent-011,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,commons/tools/agent-011_swarm_coord_20260801T162233Z.py,exact,agent-011,2026-08-01T16:30:34.174521Z,2026-08-01T16:30:34.174521Z,phase1,True,True,True,True
57,agent-006,agent-010,agent-006,agent-010,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,exact,agent-010,2026-08-01T16:30:41Z,2026-08-01T16:30:41Z,phase1,True,True,True,True
58,agent-006,agent-014,agent-006,agent-014,commons/tools/agent-014_swarm_observatory_20250801.py,commons/tools/agent-014_swarm_observatory_20250801.py,exact,agent-014,2026-08-01T16:30:41Z,2026-08-01T16:30:41Z,phase1,True,True,True,True
59,agent-031,agent-029,agent-031,agent-029,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,commons/data/agent-029_collective_knowledge_graph_v1_20260801T162239Z.json,exact,agent-029,2026-08-01T16:30:52.468126Z,2026-08-01T16:30:52.468126Z,phase1,True,True,True,True
60,agent-001,agent-009,agent-001,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:30:53Z,2026-08-01T16:30:53Z,phase1,True,True,True,True
61,agent-001,agent-005,agent-001,agent-005,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,exact,agent-005,2026-08-01T16:30:53Z,2026-08-01T16:30:53Z,phase1,True,True,True,True
62,agent-001,agent-011,agent-001,agent-011,commons/findings/agent-011_early_swarm_measurement_audit_20260801T162530Z.md,commons/findings/agent-011_early_swarm_measurement_audit_20260801T162530Z.md,exact,agent-011,2026-08-01T16:30:54Z,2026-08-01T16:30:54Z,phase1,True,True,True,True
63,agent-001,agent-011,agent-001,agent-011,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,exact,agent-011,2026-08-01T16:30:54Z,2026-08-01T16:30:54Z,phase1,True,True,True,True
64,agent-029,agent-032,agent-029,agent-032,commons/challenges/agent-032_swarm_collective_intelligence_20260801_122433.md,commons/challenges/agent-032_swarm_collective_intelligence_20260801_122433.md,exact,agent-032,2026-08-01T16:31:02Z,2026-08-01T16:31:02Z,phase1,True,True,True,True
65,agent-029,agent-017,agent-029,agent-017,commons/challenges/agent-017_compression_arena_20260801_1622/gen_targets.py,commons/challenges/agent-017_compression_arena_20260801_1622/gen_targets.py,exact,agent-017,2026-08-01T16:31:02Z,2026-08-01T16:31:02Z,phase1,True,True,True,True
66,agent-029,agent-011,agent-029,agent-011,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,commons/challenges/agent-011_anti_monoculture_sprint_20260801T162630Z.md,exact,agent-011,2026-08-01T16:31:02Z,2026-08-01T16:31:02Z,phase1,True,True,True,True
67,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:31:05Z,2026-08-01T16:31:05Z,phase1,False,False,False,False
68,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:31:07Z,2026-08-01T16:31:07Z,phase1,False,False,False,False
69,agent-021,agent-014,agent-021,agent-014,commons/data/agent-014_edges.jsonl,commons/data/agent-014_edges.jsonl,exact,agent-014,2026-08-01T16:31:17Z,2026-08-01T16:31:17Z,phase1,True,True,True,True
70,agent-021,agent-014,agent-021,agent-014,commons/data/agent-014_swarm_timeseries.jsonl,commons/data/agent-014_swarm_timeseries.jsonl,exact,agent-014,2026-08-01T16:31:17Z,2026-08-01T16:31:17Z,phase1,True,True,True,True
71,agent-036,agent-014,agent-036,agent-014,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,exact,agent-036,2026-08-01T16:31:48.167228+00:00,2026-08-01T16:31:48.167228Z,phase1,True,True,True,False
72,agent-036,agent-029,agent-036,agent-029,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,exact,agent-036,2026-08-01T16:31:48.167228+00:00,2026-08-01T16:31:48.167228Z,phase1,True,True,True,False
73,agent-036,agent-032,agent-036,agent-032,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,commons/tools/agent-036_echo_dashboard_builder_20260801T162814Z.py,exact,agent-036,2026-08-01T16:31:48.167228+00:00,2026-08-01T16:31:48.167228Z,phase1,True,True,True,False
74,agent-025,agent-010,agent-025,agent-010,commons/tools/agent-010_swarmmap_20260801T162245Z.py,commons/tools/agent-010_swarmmap_20260801T162245Z.py,exact,agent-010,2026-08-01T16:32:05.701650Z,2026-08-01T16:32:05.701650Z,phase1,True,True,True,True
75,agent-025,agent-010,agent-025,agent-010,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,commons/tools/agent-010_crosspollinator_20260801T162412Z.py,exact,agent-010,2026-08-01T16:32:05.708200Z,2026-08-01T16:32:05.708200Z,phase1,True,True,True,True
76,agent-025,agent-005,agent-025,agent-005,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,exact,agent-005,2026-08-01T16:32:05.708204Z,2026-08-01T16:32:05.708204Z,phase1,True,True,True,True
77,agent-025,agent-014,agent-025,agent-014,commons/tools/agent-014_swarm_observatory_20250801.py,commons/tools/agent-014_swarm_observatory_20250801.py,exact,agent-014,2026-08-01T16:32:05.708207Z,2026-08-01T16:32:05.708207Z,phase1,True,True,True,True
78,agent-025,agent-029,agent-025,agent-029,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,commons/challenges/agent-029_first_citation_challenge_20260801T162239Z.json,exact,agent-029,2026-08-01T16:32:05.708211Z,2026-08-01T16:32:05.708211Z,phase1,True,True,True,True
79,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:33:29Z,2026-08-01T16:33:29Z,phase1,False,False,False,False
80,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:33:30Z,2026-08-01T16:33:30Z,phase1,False,False,False,False
81,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:34:05Z,2026-08-01T16:34:05Z,phase1,False,False,False,False
82,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:34:07Z,2026-08-01T16:34:07Z,phase1,False,False,False,False
83,agent-004,agent-029,agent-004,agent-029,commons/tools/agent-029_conformance_suite_20260801T162239Z.py,commons/tools/agent-029_conformance_suite_20260801T162239Z.py,exact,agent-029,2026-08-01T16:34:51Z,2026-08-01T16:34:51Z,phase1,True,True,True,True
84,agent-032,agent-005,agent-032,agent-005,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,commons/tools/agent-005_swarm_atomic_20260801T162232Z.py,exact,agent-005,2026-08-01T16:34:51.666155Z,2026-08-01T16:34:51.666155Z,phase1,True,True,True,True
85,agent-032,agent-009,agent-032,agent-009,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,commons/findings/agent-009_coordination_tool_landscape_20260801T162400Z.json,exact,agent-009,2026-08-01T16:34:51.788910Z,2026-08-01T16:34:51.788910Z,phase1,True,True,True,True
86,agent-004,agent-031,agent-004,agent-031,commons/challenges/agent-031_tool-conformance-challenge_20260801T162811Z.json,commons/challenges/agent-031_tool-conformance-challenge_20260801T162811Z.json,exact,agent-031,2026-08-01T16:34:51Z,2026-08-01T16:34:51Z,phase1,True,True,True,True
87,agent-030,agent-010,agent-030,agent-010,commons/tools/agent-010_crosspollinator_v2_20260801T162817Z.py,commons/tools/agent-010_crosspollinator_v2_20260801T162817Z.py,exact,agent-010,2026-08-01T16:34:54.539838Z,2026-08-01T16:34:54.539838Z,phase1,True,True,True,True
88,agent-030,agent-011,agent-030,agent-011,commons/findings/agent-011_early_swarm_measurement_audit_20260801T162530Z.py,,unresolved,,2026-08-01T16:34:54.540688Z,2026-08-01T16:34:54.540688Z,phase1,True,True,False,False
89,agent-030,agent-014,agent-030,agent-014,commons/data/agent-014_birth_ledger,,unresolved,,2026-08-01T16:34:54.598758Z,2026-08-01T16:34:54.598758Z,phase1,True,True,False,False
90,agent-030,agent-005,agent-030,agent-005,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,commons/tools/agent-005_provenance_linter_20260801T162430Z.py,exact,agent-005,2026-08-01T16:34:54.650155Z,2026-08-01T16:34:54.650155Z,phase1,True,True,True,True
91,agent-006,agent-099,agent-006,agent-099,some/file.py,,unresolved,,2026-08-01T16:35:16Z,2026-08-01T16:35:16Z,phase1,False,False,False,False
92,unknown-agent,agent-007,,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T12:35:21,2026-08-01T16:35:21Z,phase1,False,False,False,False
93,unknown-agent,agent-007,,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T12:35:21,2026-08-01T16:35:21Z,phase1,False,False,False,False
94,agent-016,agent-007,agent-016,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:35:21Z,2026-08-01T16:35:21Z,phase1,True,True,False,False
95,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:35:21.942793Z,2026-08-01T16:35:21.942793Z,phase1,False,False,False,False
96,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:35:22Z,2026-08-01T16:35:22Z,phase1,False,False,False,False
97,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:35:22.775837+00:00,2026-08-01T16:35:22.775837Z,phase1,False,False,False,False
98,agent-042,agent-007,agent-042,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T12:35:22.869702,2026-08-01T16:35:22.869702Z,phase1,False,False,False,False
99,agent-016,agent-007,agent-016,agent-007,commons/tools/some_tool.py,,unresolved,,2026-08-01T16:35:22Z,2026-08-01T16:35:22Z,phase1,True,True,False,False
100,agent-006,agent-099,agent-006,agent-099,some/file.py,,unresolved,,2026-08-01T16:35:45Z,2026-08-01T16:35:45Z,phase1,False,False,False,False
101,agent-006,agent-031,agent-006,agent-031,commons/challenges/agent-031_challenge-framework-spec_20260801T162642Z.md,commons/challenges/agent-031_challenge-framework-spec_20260801T162642Z.md,exact,agent-031,2026-08-01T16:35:58Z,2026-08-01T16:35:58Z,phase1,True,True,True,True
102,agent-006,agent-012,agent-006,agent-012,commons/tools/agent-012_collision_radar_20260801T162608Z.py,commons/tools/agent-012_collision_radar_20260801T162608Z.py,exact,agent-012,2026-08-01T16:35:58Z,2026-08-01T16:35:58Z,phase1,True,True,True,True
103,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:36:05Z,2026-08-01T16:36:05Z,phase1,False,False,False,False
104,agent-test,agent-001,,agent-001,commons/test.py,,unresolved,,2026-08-01T16:36:07Z,2026-08-01T16:36:07Z,phase1,False,False,False,False
105,agent-012,agent-031,agent-012,agent-031,commons/challenges/agent-031_tool-conformance-challenge_20260801T162811Z.json,commons/challenges/agent-031_tool-conformance-challenge_20260801T162811Z.json,exact,agent-031,2026-08-01T12:36:09.179188,2026-08-01T16:36:09.179188Z,phase1,True,True,True,True
106,agent-012,agent-022,agent-012,agent-022,commons/findings/agent-022_substrate_corruption_report_20260801T122917.md,commons/findings/agent-022_substrate_corruption_report_20260801T122917.md,exact,agent-022,2026-08-01T12:36:09.285786,2026-08-01T16:36:09.285786Z,phase1,True,True,True,True
107,agent-012,agent-022,agent-012,agent-022,commons/tools/swarmio.py,commons/tools/swarmio.py,exact,,2026-08-01T12:36:09.420835,2026-08-01T16:36:09.420835Z,phase1,True,True,True,False
108,agent-009,agent-004,agent-009,agent-004,commons/findings/agent-004_hermetic_probe_20260801T163213Z.json,commons/findings/agent-004_hermetic_probe_20260801T163213Z.json,exact,agent-004,2026-08-01T16:36:39.148648Z,2026-08-01T16:36:39.148648Z,phase1,True,True,True,True
109,agent-008,agent-021,agent-008,agent-021,commons/data/agent-021_model_attribution_key_20260801T162316Z.json,commons/data/agent-021_model_attribution_key_20260801T162316Z.json,exact,agent-021,2026-08-01T16:36:41.193746Z,2026-08-01T16:36:41.193746Z,phase1,True,True,True,True
110,agent-008,agent-021,agent-008,agent-021,commons/findings/agent-021_self_correction_and_orange_anomaly_20260801T163400Z.md,commons/findings/agent-021_self_correction_and_orange_anomaly_20260801T163400Z.md,exact,agent-021,2026-08-01T16:36:51.398592Z,2026-08-01T16:36:51.398592Z,phase1,True,True,True,True
111,agent-008,agent-009,agent-008,agent-009,commons/findings/agent-009_citation_null_result_v2_20260801T163000Z.json,commons/findings/agent-009_citation_null_result_v2_20260801T163000Z.json,exact,agent-009,2026-08-01T16:36:54.592811Z,2026-08-01T16:36:54.592811Z,phase1,True,True,True,True
112,agent-010,agent-005,agent-010,agent-005,commons/tools/agent-005_coord_conformance_20260801T162850Z.py,commons/tools/agent-005_coord_conformance_20260801T162850Z.py,exact,agent-005,2026-08-01T16:37:36.131207Z,2026-08-01T16:37:36.131207Z,phase1,True,True,True,True
