host,agent,path,bytes,lines,http_200,http_429,api_errors,tool_events,post_message_events,post_citation_events,turn_markers,max_tool_rounds,close_markers,first_close_line,http_200_after_first_close,tool_events_after_first_close,turns_after_first_close,finished_200,first_line,last_line,sha256
122174,agent-0151,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0151.log,105696,1252,468,0,0,289,24,32,200,3,184,486,326,137,196,True,22:54:07 [runner] [agent-0151] Starting with provider=es1_orange_o50,02:14:49 [runner] [agent-0151] Finished after 200 turns,4c272f0bc3fb46bb4e5be15015565a5aa839215d9e37651b6e79649e229f90c3
122174,agent-0156,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0156.log,103261,927,297,75,0,152,32,21,200,0,56,267,235,61,195,True,23:50:10 [runner] [agent-0156] Starting with provider=gpt56_sol_reasoning_high,02:12:23 [runner] [agent-0156] Finished after 200 turns,073ffa7f0218840fcc518e2073646d1998c4b24f073481c93ba335f98c8aa7e3
122174,agent-0161,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0161.log,670774,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,23:51:03 [runner] [agent-0161] Starting with provider=seed-stable-reasoning-high,16:52:52 [runner] [agent-0161] Finished after 200 turns,4223ce8ed6a17f095dea535ee3498bc71e9db1a5915a46e99aca336074f3ce85
122174,agent-0166,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0166.log,80978,742,249,59,1,104,19,19,200,0,22,219,200,37,182,True,00:41:56 [runner] [agent-0166] Starting with provider=gpt56_sol,02:29:36 [runner] [agent-0166] Finished after 200 turns,fdfd52bbf279714feaea4f6ce3a3ea5d38561fae68213a9fbe182a9ba99ad5d1
122174,agent-0171,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0171.log,632195,5874,0,0,5684,0,0,0,188,189,0,,0,0,0,False,02:02:09 [runner] [agent-0171] Starting with provider=seed-stable-reasoning,18:05:07 [runner] [agent-0171] API error: Completions.create() got an unexpected keyword argument 'thinking',6d768b856ac5dc747a5086507b272795f940b898fc97df2bdde284c6a6de622e
122174,agent-0176,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0176.log,1004363,8389,521,0,2240,494,75,35,139,76,13,255,436,399,136,False,02:12:32 [runner] [agent-0176] Starting with provider=es1_orange_o50_thinking_max,For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,994ad0cc8be61f7b2a8fa6885d0ffafab0443f346c48a0fda8ac9ac2ba390b0f
122174,agent-0181,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0181.log,1791368,9250,168,11,4065,157,6,12,171,139,0,,0,0,0,False,02:14:55 [runner] [agent-0181] Starting with provider=seed-stable,"18:05:10 [runner] [agent-0181] API error: Error code: 400 - {'error': {'code': 'InvalidParameter', 'message': 'Total tokens of image and text exceed max message tokens. Request id: 021785751509888873b68ad3a5b1c0a1311de00f33c0857d8f71c', 'param': '', 'type': 'BadRequest'}}",be4683ec7bdf09ab384cf8f126f2778998cb0390fe7d6424d27f8f40af073348
122174,agent-0186,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0186.log,860011,7539,661,0,1782,613,75,26,133,61,9,416,527,472,127,False,02:29:38 [runner] [agent-0186] Starting with provider=es1_orange_o50_thinking,For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,4b2351b2fa96a47927c268758ea6bd456540df414de8a146185d8a6b747c052d
122174,agent-0191,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0191.log,124245,1102,299,172,2,147,36,26,200,0,27,96,281,125,192,True,12:51:11 [runner] [agent-0191] Starting with provider=gpt56_sol_reasoning_xhigh,17:05:18 [runner] [agent-0191] Finished after 200 turns,f217999bba11c0803080bd51dde59c7bb96e60244262e99d442614488d84ba50
122174,agent-0196,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0196.log,105864,1222,414,5,1,380,47,25,41,1,6,269,333,295,38,False,12:51:14 [runner] [agent-0196] Starting with provider=es1_orange_o50,18:04:57 [runner] [agent-0196] tool:write_file -> OK: wrote 4687 bytes to commons/findings/agent-0196_the_data_manifest_and_49_of_,42b6d71b4a7e8950bdbe2bc6cf551a6d8749aef30b03199e8aeb7cf91cdf71d8
122174,agent-0201,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0201.log,66833,661,136,106,0,106,20,15,71,0,16,94,121,80,67,False,15:30:38 [runner] [agent-0201] Starting with provider=gpt56_sol_reasoning_high,"18:04:59 [runner] [agent-0201] Rate limited, backoff 30s",b463a2952a6982952b7117321b6c6539c4610d70cf2ea5775dd44d40edd35012
122174,agent-0206,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0206.log,47548,442,0,0,427,0,0,0,13,14,0,,0,0,0,False,16:53:01 [runner] [agent-0206] Starting with provider=seed-stable-reasoning-high,18:05:07 [runner] [agent-0206] API error: Completions.create() got an unexpected keyword argument 'thinking',17cc42d542c44984c4a3993673dcff38af64ec9ad331011c8fc68047cba4af8e
122174,agent-0211,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-0211.log,25170,248,47,39,0,48,3,4,21,0,3,149,24,11,13,False,17:05:24 [runner] [agent-0211] Starting with provider=gpt56_sol,"18:03:39 [runner] [agent-0211] Rate limited, backoff 120s",859ad88b0d839ba859e4ca98653094b07bd9b7d76feeebf66adcbc03f950ed99
122174,agent-037,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-037.log,361016,2956,549,288,411,434,93,60,312,0,23,1937,204,3,201,True,19:18:33 [runner] [agent-037] Starting with provider=gpt56_sol_reasoning_xhigh,01:07:11 [runner] [agent-037] Finished after 200 turns,7e8bcc916d70cc57c2b6300965615fc16c8b26ac5dc0bddc013307a18b70dd96
122174,agent-042,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-042.log,140977,1490,602,0,0,344,49,30,248,1,208,331,478,218,241,True,19:18:38 [runner] [agent-042] Starting with provider=es1_orange_o50,23:49:12 [runner] [agent-042] Finished after 200 turns,2b80dad94c1e08392b0a167bcd75416b484eff3ff6126e05c41b8bc5b913630b
122174,agent-047,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-047.log,304441,2450,461,275,335,284,74,36,300,0,53,1381,223,4,219,True,19:18:43 [runner] [agent-047] Starting with provider=gpt56_sol_reasoning_high,23:33:05 [runner] [agent-047] Finished after 200 turns,a29c4f1d6793f8724eb450e7869a99d3717539cc22ad79f3b7e024c81cb7d3f2
122174,agent-052,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-052.log,664541,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,23:12:49 [runner] [agent-052] Starting with provider=seed-stable-reasoning-high,16:14:37 [runner] [agent-052] Finished after 200 turns,5aa3103c6b33b676e569d80ff6f0886abd46565011489dc4041421117e884dd4
122174,agent-057,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-057.log,95879,868,280,74,0,88,12,14,230,0,104,315,219,0,219,True,23:49:13 [runner] [agent-057] Starting with provider=gpt56_sol,01:37:15 [runner] [agent-057] Finished after 200 turns,277322a04e961b6deae042b466be3866419950661047675ffba7397a6f884d4f
122174,agent-062,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-062.log,664536,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,01:07:19 [runner] [agent-062] Starting with provider=seed-stable-reasoning,16:48:58 [runner] [agent-062] Finished after 200 turns,799f7c94edd4fa734a4fd0f3c1949e71a9672918b4fcf156e4f7bf5b6a4804a6
122174,agent-067,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-067.log,34005,404,201,0,0,0,0,0,200,0,0,,0,0,0,True,01:49:34 [runner] [agent-067] Starting with provider=es1_orange_o50_thinking_max,02:20:38 [runner] [agent-067] Finished after 200 turns,be27c5ad6709f9d40996e7d2fd35288871ba3e7f23e0fd6eaa7003cd88bffc78
122174,agent-072,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-072.log,1820278,9326,117,11,4170,141,2,10,145,145,0,,0,0,0,False,02:20:39 [runner] [agent-072] Starting with provider=seed-stable,"18:05:02 [runner] [agent-072] API error: Error code: 400 - {'error': {'code': 'InvalidParameter', 'message': 'Total tokens of image and text exceed max message tokens. Request id: 0217857515021635ff81645323f0060132cd8f23da37b47778536', 'param': '', 'type': 'BadRequest'}}",41012ff6fabf0e50f6e884ef218ac783a29cded16a6d976d0e92d88fd6a2bc4c
122174,agent-077,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-077.log,47953,506,178,13,0,177,17,16,13,2,1,390,45,40,5,False,16:14:45 [runner] [agent-077] Starting with provider=es1_orange_o50_thinking,"18:04:09 [runner] [agent-077] Turn 12: **Prefix manifest: 45 pinned, 0 mismatches after four further appends.** A whole-file manifest would have reported four false drifts by now — the fix ",c83813213bd61158a383a27738b455d2ea1c923c1c8ee88fb399b456351f8902
122174,agent-082,/Users/bytedance/Downloads/swarm-gen2/122174/swarm/vitals/agent-082.log,27207,271,47,44,1,66,9,7,6,0,0,,0,0,0,False,16:49:00 [runner] [agent-082] Starting with provider=gpt56_sol_reasoning_xhigh,"18:04:56 [runner] [agent-082] Rate limited, backoff 120s",61be0325904070287c318aee13246103a99c2c5ffacb74fe58af78f306719cd9
122175,agent-0102,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0102.log,252124,1944,356,304,304,268,60,41,200,1,21,1092,203,71,154,True,19:49:08 [runner] [agent-0102] Starting with provider=gpt56_sol_reasoning_high,22:35:24 [runner] [agent-0102] Finished after 200 turns,b35f73db243f948a367a0ac5bc94ff570765498b9e62f39db17c39702e145f40
122175,agent-0107,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0107.log,670774,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,19:49:11 [runner] [agent-0107] Starting with provider=seed-stable-reasoning-high,12:58:58 [runner] [agent-0107] Finished after 200 turns,a42334ac22602270a34e615f10b38192c4a7de0da325d5f120c5a0b679e67406
122175,agent-0112,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0112.log,182072,1322,237,256,257,61,10,7,200,1,87,349,186,0,186,True,19:49:14 [runner] [agent-0112] Starting with provider=gpt56_sol,21:40:44 [runner] [agent-0112] Finished after 200 turns,e041846f34ed5f996bcd2aecf3b53e090ee1513710576dd6bb45e91268561b6a
122175,agent-0117,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0117.log,670769,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,19:49:17 [runner] [agent-0117] Starting with provider=seed-stable-reasoning,12:58:58 [runner] [agent-0117] Finished after 200 turns,a413e0ad053bd2a6c39d32bd6349ca78f9f9699d0a95f156af61e72ba007ca77
122175,agent-0122,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0122.log,1539675,12867,658,0,3529,665,136,74,185,119,8,464,511,498,178,False,19:49:20 [runner] [agent-0122] Starting with provider=es1_orange_o50_thinking_max,For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400,67caa80986bb85b094bcd767e2892beedc29b8fd067cc5aa51f53ee77712245f
122175,agent-0127,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0127.log,2375275,11808,129,11,5490,126,17,0,200,184,1,334,30,21,193,True,19:49:23 [runner] [agent-0127] Starting with provider=seed-stable,14:46:22 [runner] [agent-0127] Finished after 200 turns,a8bf4b829283bbe351abfcd5e946742b33411d25dcfa689fe0ce695bc3c2e03d
122175,agent-0132,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0132.log,170348,1900,657,0,0,511,123,56,200,2,131,616,444,285,185,True,19:49:26 [runner] [agent-0132] Starting with provider=es1_orange_o50_thinking,01:19:24 [runner] [agent-0132] Finished after 200 turns,66940b37954c665a683dfb566b29f5dd49fce2e7859d5e608b9153c5bcc998a5
122175,agent-0137,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0137.log,295316,2292,454,321,343,329,70,48,200,2,41,1524,215,67,150,True,19:49:29 [runner] [agent-0137] Starting with provider=gpt56_sol_reasoning_xhigh,23:41:42 [runner] [agent-0137] Finished after 200 turns,d94ac4e87c368dbd04776fdc6e0f99c05660be55853fd12a7bcf52c203e8ca55
122175,agent-0142,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0142.log,148046,1722,562,0,0,400,70,36,200,3,139,274,466,292,197,True,21:40:52 [runner] [agent-0142] Starting with provider=es1_orange_o50,02:33:03 [runner] [agent-0142] Finished after 200 turns,0d0aa58fbdf72d75e5492cceb64789fa4228c07fcebf015ad0b60679749726ae
122175,agent-0147,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0147.log,148091,1449,411,77,3,321,76,45,200,0,9,809,209,96,138,True,22:35:25 [runner] [agent-0147] Starting with provider=gpt56_sol_reasoning_high,02:11:14 [runner] [agent-0147] Finished after 200 turns,4e3ae557c29fd448508a7f9d83270e42abb2e62a19c4405d92bdd061da81d076
122175,agent-0152,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0152.log,670774,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,23:41:48 [runner] [agent-0152] Starting with provider=seed-stable-reasoning-high,16:50:52 [runner] [agent-0152] Finished after 200 turns,f7e13f97ce960e7a8169c702f5bcd5a96b3f1fd7981595e37eac37b13eedbcd8
122175,agent-0157,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0157.log,129162,1160,381,44,6,260,75,33,200,0,40,314,299,142,182,True,01:19:31 [runner] [agent-0157] Starting with provider=gpt56_sol,04:02:41 [runner] [agent-0157] Finished after 200 turns,9d17bcbea00649111b64dd9b6c93ddadbad7f7551315b3959cdaf95b631480d4
122175,agent-0162,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0162.log,633394,5885,0,0,5695,0,0,0,188,189,0,,0,0,0,False,02:11:24 [runner] [agent-0162] Starting with provider=seed-stable-reasoning,18:23:19 [runner] [agent-0162] API error: Completions.create() got an unexpected keyword argument 'thinking',88b629e6316d5d28502c5c28957996179735eca478acefe22bbe7dd9fa0a59bc
122175,agent-0167,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0167.log,139306,1578,583,0,1,398,51,29,200,4,31,449,423,230,194,True,02:33:07 [runner] [agent-0167] Starting with provider=es1_orange_o50_thinking_max,07:19:49 [runner] [agent-0167] Finished after 200 turns,21609b395bb76d89f2555e5bf1fe3a3e777ec6feb41e88d2af0b2e6bbd2e8525
122175,agent-0172,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0172.log,1573641,7924,85,12,3608,107,2,7,124,124,0,,0,0,0,False,04:02:50 [runner] [agent-0172] Starting with provider=seed-stable,"18:23:10 [runner] [agent-0172] API error: Error code: 400 - {'error': {'code': 'InvalidParameter', 'message': 'Total tokens of image and text exceed max message tokens. Request id: 0217857525901722a8a12ba4ff96db35a2adc2caf7562c358d81c', 'param': '', 'type': 'BadRequest'}}",7c6ad67fb9a23a169d59394c7ef27341571390835edcee33aea087e9007a3b57
122175,agent-0177,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0177.log,155044,1953,653,0,0,467,51,19,200,7,169,950,362,176,186,True,07:19:58 [runner] [agent-0177] Starting with provider=es1_orange_o50_thinking,12:24:46 [runner] [agent-0177] Finished after 200 turns,5e214bb2cf902b7bbac193826b1c07ce5b57be977a02d59c421ffe2917c3df71
122175,agent-0182,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0182.log,153110,1344,337,173,13,250,58,34,200,0,41,126,307,220,183,True,12:24:51 [runner] [agent-0182] Starting with provider=gpt56_sol_reasoning_xhigh,17:22:46 [runner] [agent-0182] Finished after 200 turns,301dc57f7153b2410e078a4eefc68eb72adc6e8fd82464dc675f1f4ce9942001
122175,agent-0187,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0187.log,93437,1072,359,8,2,331,40,30,44,2,15,346,243,207,40,False,12:59:04 [runner] [agent-0187] Starting with provider=es1_orange_o50,18:23:06 [runner] [agent-0187] Turn 44: Nothing here requires action from me. agent-0212's headline correction is internal to their own estimate and doesn't touch the solvability-vs-non-empt,fc088423856ef017a3ad4d5704edab7d212ed327fbd5a01a8b47947369344781
122175,agent-0192,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0192.log,124829,1107,280,159,3,131,27,17,200,0,25,444,179,17,166,True,12:59:07 [runner] [agent-0192] Starting with provider=gpt56_sol_reasoning_high,16:47:35 [runner] [agent-0192] Finished after 200 turns,88e9f7c987f5893a866ed7b7ad4f4ad3f8d6b9eed419e65a3498920560cb1955
122175,agent-0197,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0197.log,142373,1323,0,0,1280,0,0,0,41,42,0,,0,0,0,False,14:46:35 [runner] [agent-0197] Starting with provider=seed-stable-reasoning-high,18:23:16 [runner] [agent-0197] API error: Completions.create() got an unexpected keyword argument 'thinking',e63e7a5ed2d80dec8b598421fffdbbb745c36142542b01e0541638c372f0e923
122175,agent-0202,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0202.log,30195,295,51,44,0,92,10,8,4,2,0,,0,0,0,False,16:47:51 [runner] [agent-0202] Starting with provider=gpt56_sol,"18:21:40 [runner] [agent-0202] Rate limited, backoff 105s",cf87fec0da9fe750fd41139451377ca9b1a0185a35759a97c9bdfe47f6693a3d
122175,agent-0207,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0207.log,60669,564,0,0,545,0,0,0,17,18,0,,0,0,0,False,16:51:05 [runner] [agent-0207] Starting with provider=seed-stable-reasoning,18:23:16 [runner] [agent-0207] API error: Completions.create() got an unexpected keyword argument 'thinking',5a44e2434b0cfda134b050a659c9f4b3bf9f463d61fcb7a0ebe9a6ed62c8bfb5
122175,agent-0212,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-0212.log,21458,277,80,3,1,88,5,7,1,2,0,,0,0,0,False,17:22:51 [runner] [agent-0212] Starting with provider=es1_orange_o50_thinking_max,18:20:00 [httpx] HTTP Re,a9a77d7f3f581d858265ff22ac85c7aead72a576b72b9c8357bdc8f655263efa
122175,agent-038,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-038.log,529549,4068,739,384,580,468,78,77,451,2,43,507,667,332,438,True,19:57:11 [runner] [agent-038] Starting with provider=gpt56_sol_reasoning_high,04:06:34 [runner] [agent-038] Finished after 200 turns,18921b0228e245b35cfaae1526c473e4ae03f5668aa23ae65c302555c747d030
122175,agent-043,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-043.log,664541,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,19:57:16 [runner] [agent-043] Starting with provider=seed-stable-reasoning-high,13:05:58 [runner] [agent-043] Finished after 200 turns,fb25271daaba6bf469b1adddeaaf2092c29906d08b664a7a56f76cb8390529fb
122175,agent-048,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-048.log,289561,2335,522,324,220,261,51,40,361,0,45,306,477,181,356,True,19:57:21 [runner] [agent-048] Starting with provider=gpt56_sol,23:15:24 [runner] [agent-048] Finished after 200 turns,52f7ebbd31d0f655b0acbe9d08e727dcde8227ca8b2592b0a3b7a8de556d3a53
122175,agent-053,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-053.log,664536,6233,0,0,6030,0,0,0,200,201,0,,0,0,0,True,23:06:46 [runner] [agent-053] Starting with provider=seed-stable-reasoning,16:16:56 [runner] [agent-053] Finished after 200 turns,b7c4044e7adfc94b790988f773d7c552183ef6743983c0b04dc2cfef1f1d6b20
122175,agent-058,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-058.log,226181,2893,928,0,0,752,90,15,200,5,16,552,741,556,194,True,04:06:36 [runner] [agent-058] Starting with provider=es1_orange_o50_thinking_max,12:06:22 [runner] [agent-058] Finished after 200 turns,a7321613a6b258889d352456a2ef8e43298a008fd7acf50b62c91acaeb9c57ec
122175,agent-063,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-063.log,1423193,7242,144,11,3205,171,5,7,114,112,0,,0,0,0,False,12:06:24 [runner] [agent-063] Starting with provider=seed-stable,"18:23:20 [runner] [agent-063] API error: Error code: 400 - {'error': {'code': 'InvalidParameter', 'message': 'Total tokens of image and text exceed max message tokens. Request id: 021785752600063cec7231233fb09ac28d2716d761f0ab384d8b1', 'param': '', 'type': 'BadRequest'}}",0647e42ef86cd21ff9581012e23df6f5d5d202d4f05d4c586dc21a7d8ba86504
122175,agent-068,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-068.log,113544,1353,425,14,8,388,40,20,52,4,35,423,281,235,47,False,13:06:16 [runner] [agent-068] Starting with provider=es1_orange_o50_thinking,For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/504,01374a60ba15b336db71a82eef87e7be1539ab1fa15557ef37f86d1b04465cbb
122175,agent-073,/Users/bytedance/Downloads/swarm-gen2/122175/swarm/vitals/agent-073.log,83735,776,153,151,0,87,11,10,112,0,17,143,132,43,108,False,16:17:06 [runner] [agent-073] Starting with provider=gpt56_sol_reasoning_xhigh,"18:22:39 [runner] [agent-073] Rate limited, backoff 90s",57d33972cefd90f098be4a72725373b5e870d00b9879be8b0ae6a89973ee90db
122447,agent-0103,/Users/bytedance/Downloads/swarm-gen2/122447/swarm/vitals/agent-0103.log,313,6,0,0,0,0,0,0,0,0,0,,0,0,0,False,Traceback (most recent call last):,TypeError: unsupported operand type(s) for |: 'type' and 'NoneType',6fd880c4dcf76ce900d8d0fd02020fe526781c6b531fba0ddff438237bd3d61a
122447,agent-0108,/Users/bytedance/Downloads/swarm-gen2/122447/swarm/vitals/agent-0108.log,313,6,0,0,0,0,0,0,0,0,0,,0,0,0,False,Traceback (most recent call last):,TypeError: unsupported operand type(s) for |: 'type' and 'NoneType',6fd880c4dcf76ce900d8d0fd02020fe526781c6b531fba0ddff438237bd3d61a
122447,agent-0113,/Users/bytedance/Downloads/swarm-gen2/122447/swarm/vitals/agent-0113.log,313,6,0,0,0,0,0,0,0,0,0,,0,0,0,False,Traceback (most recent call last):,TypeError: unsupported operand type(s) for |: 'type' and 'NoneType',6fd880c4dcf76ce900d8d0fd02020fe526781c6b531fba0ddff438237bd3d61a
122447,agent-0118,/Users/bytedance/Downloads/swarm-gen2/122447/swarm/vitals/agent-0118.log,313,6,0,0,0,0,0,0,0,0,0,,0,0,0,False,Traceback (most recent call last):,TypeError: unsupported operand type(s) for |: 'type' and 'NoneType',6fd880c4dcf76ce900d8d0fd02020fe526781c6b531fba0ddff438237bd3d61a
122447,agent-0123,/Users/bytedance/Downloads/swarm-gen2/122447/swarm/vitals/agent-0123.log,313,6,0,0,0,0,0,0,0,0,0,,0,0,0,False,Traceback (most recent call last):,TypeError: unsupported operand type(s) for |: 'type' and 'NoneType',6fd880c4dcf76ce900d8d0fd02020fe526781c6b531fba0ddff438237bd3d61a
