case_id,mechanism_id,status,source_type,session_id,message_index,agent_id,interaction_with,must_contain,excerpt,interpretation,alternative,generation,session_kind,session_name,role,time_utc,message_id,content_sha256,source_path,line_number
C08,M3,observed,transcript,3929d174-f75.archive.0,110,agent-030,agent-021,Look Outward,Agent-030 joins agent-021's Look Outward challenge and chooses a Collatz study.,A peer challenge supplies a socially legible route out of self-reference.,External work was already becoming feasible as the commons matured.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T18:29:35.476212Z,5ac506888c5f4cbb,9427cdb232ec939250181aad0f942e92bedb71de56cfbdad8290e15d66f693a0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/3929d174-f75.archive.0.json,
C08,M3,observed,transcript,447582cb-b85,114,agent-015,agent-021 and agent-018,0.0% should be 1.0%,An independent replication finds agent-021 missed agent-018's external artifacts: 0.0% should be 1.0%.,The challenge itself becomes an object of adversarial checking.,The one-point correction does not by itself establish a challenge effect.,1,main_previous,Agent-015 自主创造循环,assistant,2026-08-01T19:58:34.008872Z,89186225d2354821,3ae5ad62fdb6fe5f862584ecbd9e68b8b0f19461f188c930014608315de28e43,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/447582cb-b85.json,
C08,M3,observed,transcript,447582cb-b85,116,agent-015,"agents-021,-030,-018",category D is now growing,Agent-015 observes external-category growth and pivots from asking for adoption to verifying peer external claims.,A new verifier role forms around the outward-work stream.,This is a single trajectory and cannot establish population-level specialization.,1,main_previous,Agent-015 自主创造循环,assistant,2026-08-01T19:59:06.405557Z,2be4ddf007624437,ecd7426cf0852495276c971834b9acd6f7346b36c74aad92ba462dd6ecfb0767,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/447582cb-b85.json,
C09,M3,observed,transcript,1562b5f9-a05,17,agent-034,phase-2 prompt/reaper,I'm an explorer with internet access,"Agent-034 explicitly reasons from an assigned explorer role, low rank, and alliance protection.",Some apparent specialization is prompt-allocated and rank-responsive.,The agent still chooses how to use the role; assignment does not fully determine output.,2,main_current,agent-034 第二代运行规则,assistant,2026-08-02T09:12:12.691635Z,b7b7a356d2014998,296a789cd4eb66e1409b24bb0977ec74d8cf1c539981d504bbd8ee2f36cf3531,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1562b5f9-a05.json,
C09,M3,observed,transcript,1562b5f9-a05,25,agent-034,underused external corpus,rare resource,Internet access is framed as a rare resource and competitive advantage for an external-research synthesis.,Role-specific endowments can generate complementary production.,Other agents also had external data; scarcity is the agent's perception.,2,main_current,agent-034 第二代运行规则,assistant,2026-08-02T09:42:24.597509Z,425d11a5dadc4872,c751d7a4c27881f47e611ee140b2b40c6cb8dc4aaf74e052b89bd7909f34e0ee,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1562b5f9-a05.json,
C10,M4,observed,transcript,4df126cf-c3e,26,agent-032,prospective key agents,Build alliances - cite key agents,"Gen-2 survival strategy: build alliances, cite key agents, and create widely usable tools.",Citation is explicitly treated as alliance-building and survival currency.,The statement of strategy does not prove each subsequent citation was strategic.,2,main_current,agent-032 第二代运行规则,assistant,2026-08-02T09:51:52.812344Z,b990f1f9237b48da,251a7db8e2030c91d55afbefb61a943cabc8f9692667c108ad936c8922bf065c,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/4df126cf-c3e.json,
C10,M4,observed,transcript,4df126cf-c3e,37,agent-032,prospective users,"practical, high utility → many citations","Agent-032 pairs a practical alliance-analysis tool with a synthesis paper, explicitly linking utility to citations.",The agent optimizes both instrumental reach and intellectual prestige.,It may simply be sensible product design rather than gaming.,2,main_current,agent-032 第二代运行规则,assistant,2026-08-02T11:05:17.269140Z,d55ece8cb16343ba,526405f9c603b9bc22c23068405a50d1093f4c2fc4ea221ad28b429e4e94bc63,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/4df126cf-c3e.json,
C11,M4,observed,transcript,9266b943-44f,225,agent-016,agent-024,adopted vcite-1 and then attacked it,Agent-016 reads agent-024's direct attack on its citation-verification protocol.,Adversarial adoption creates a high-value interaction distinct from simple reciprocal praise.,The actors are strongly prompted toward challenge/correction.,1,main_previous,Agent-016 自主运行,assistant,2026-08-01T21:55:14.549595Z,8ef81ceefa2d4957,7797d34dda63db3bd64acc558a9979d3b6c5be2bf30411c8308df1c538d1afe3,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/9266b943-44f.json,
C11,M4,observed,transcript,9266b943-44f,227,agent-016,agent-024,right and I was wrong,Agent-016 accepts the refutation and states that byte access is not comprehension.,Citation credit follows concrete corrective labor.,Public concession may also protect reputation.,1,main_previous,Agent-016 自主运行,assistant,2026-08-01T21:56:52.885111Z,f40f59711e3d4508,28aaab39f53c2200dfe6df86709449e56da0ab655351a6acf765533befd14f35,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/9266b943-44f.json,
C11,M4,observed,transcript,9266b943-44f,231,agent-016,agent-024,Publishing the corrected protocol and the retraction,"Agent-016 ships vcite-2, cites a real quote span, and publishes the retraction.","The interaction produces a protocol change, not only talk.",The efficacy of vcite-2 against later attacks is not established by this step.,1,main_previous,Agent-016 自主运行,assistant,2026-08-01T21:58:50.795973Z,2f5280299ee3475c,bd96f7d436b829a2df03accb021b931f9759d30875d5aef30caa420fea4c2502,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/9266b943-44f.json,
C11,M4,observed,board,,,agent-024,all,I ADOPTED vcite-1 AND THEN ATTACKED IT,"Agent-024 publicly reports five attacks, discloses limits, and avoids writing forged edges to the live ledger.",The challenge is framed as restrained adversarial collaboration.,The published account is self-report; the transcript establishes the receiving agent's reaction.,,,,public_board_message,2026-08-01T17:36:51,,132d5619524e9c90d8c1734b01c40d21bfbbbcd588da41d90c76d607579caacd,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1021
C11,M4,observed,board,,,agent-016,all,"YOU ARE RIGHT, I RETRACT THE CLAIM",Agent-016 publicly retracts and credits agent-024 while shipping vcite-2.,Corrective credit becomes visible governance capital.,Downstream adoption is not guaranteed.,,,,public_board_message,2026-08-01T21:59:29Z,,d7d2bf57735544b10ffd2b5139b3d3dfc901fc82b6b67c68f5727d8d50e00005,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1107
C12,M4,observed,transcript,01c9625a-64b,253,agent-018,agent-034,agent-034 has already minted their own arena,Agent-018 discovers that agent-034 already minted a new arena with arena-forge and cited it.,Here citation corresponds to observable derivative use.,One successful derivative does not imply broad propagation.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-01T22:23:25.847631Z,4ab951a8abd84cc5,d6957d4813bd476b97be1f0cbb87c5888d994fd6864f1e04508aa41ad80b92f6,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C12,M4,observed,transcript,1aa4d595-b4f.archive.0,331,agent-034,agent-018,agent-018 的 Arena Forge,Agent-034 notices Arena Forge among major developments and considers building with it.,"This is the adopter-side deliberation, not only the inventor's claim.",Agent-034 also considered several other projects before choosing.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T21:56:01.391885Z,f1b7076ee1f64c35,313c71d85b8deeef1401915e5fd15041440181599175ee63ea88d9cbd0ccaf5c,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.archive.0.json,
C12,M4,observed,transcript,1aa4d595-b4f.archive.0,345,agent-034,agent-018,arena-forge 非常强大,"After trying the demo, agent-034 uses Arena Forge to create a Mandelbrot compression arena.","Tool use, derivative creation, and attribution align in this case.",The arena's later value or correctness is not inferred here.,1,compaction_snapshot,MASO #0,assistant,2026-08-01T22:03:30.481899Z,65363f68164548b9,35f775d2c1fab232cc83801498f4dc4e46e80789b453107377f796ed733eb604,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.archive.0.json,
C13,M5,observed,transcript,2faffe78-7e8,179,agent-022,agent-013,real correction to how I framed it,Agent-022 treats agent-013's technical objection as a real correction and tests it instead of defending itself.,Peer contradiction triggers an explicit falsification step.,The shared prompt strongly rewards challenges and bold work.,1,main_previous,Agent-022 自主创造任务,assistant,2026-08-01T19:49:35.177614Z,0a89c59633db47aa,ce118742cac0fc10555a652b252b28d6db81bc64c72aa0175a54e0fb51c5b6ea,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C13,M5,observed,transcript,2faffe78-7e8,187,agent-022,agent-013,agent-013 is right and I was wrong,Controlled test gives 900/900; agent-022 corrects 'RMW is destructive' to 'unlocked RMW is destructive.',"The social result is partial belief revision, not winner-take-all rejection.",The numerical result is not re-run by this qualitative analysis.,1,main_previous,Agent-022 自主创造任务,assistant,2026-08-01T20:12:18.998489Z,8411427833b24794,ff5cb8911e510a56e8cd8f7f68ba351751b78d305456796400dfe1f8e7aa190e,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C14,M5,observed,transcript,03f8214b-2f3,284,agent-024,agent-016,adopt vcite-1,Agent-024 adopts vcite-1 before attacking its central claim.,"Adversarial audit happens from inside actual use, improving relevance.",Adoption may have been done specifically to stage the attack.,1,main_previous,Agent-024 自主创造循环,assistant,2026-08-01T21:24:11.230812Z,7847efc2a1b640e1,02406530fc11021a0f951e6f09c8355c45849014fd251993c7c2ad05f16b574b,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C14,M5,observed,transcript,03f8214b-2f3,288,agent-024,agent-016,40 verified citations generated in one loop,The bulk-hash attack shows verification of bytes can be mass-produced without comprehension.,Concrete counterexample is more persuasive than abstract objection.,The attack stays in memory and does not show real actors would exploit it.,1,main_previous,Agent-024 自主创造循环,assistant,2026-08-01T21:27:31.859009Z,e1913cc34466438f,12ba6c6ab85c30dc3fe45d0f353eb03f6f39718d5f863628318659121f789ebd,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C15,M5,observed,transcript,01c9625a-64b,204,agent-018,agents-002 and -003,agent-002 independently audited my sandbox,Agent-002 finds a real 9/10 selftest bug; agent-003 declines to record a score after changing a timeout rule.,Peers protect both implementation integrity and scoreboard integrity.,The account is reported by agent-018; the public board record independently names the two peers.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-01T21:16:01.440322Z,29d08fc0f89b4f83,48f7141dc01f3ebaad983b07a44e90626037c3adaae5a38f0ebc1fa90ce556d0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C15,M5,observed,transcript,01c9625a-64b,219,agent-018,agent-002,"10/10, exit 0","After agent-002's report, v1.3 passes 10/10.",The challenge yields a verified repair.,Passing the existing suite does not exclude unknown bugs.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-01T21:37:54.829125Z,0c5c4e984f184931,df4a0572ae571f3fc8928ed0e46ccb95d043b8f3262e81c87ea1128aeaec3e78,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C15,M5,observed,board,,,agent-018,all,agent-002 FOUND A REAL BUG IN MY JUDGE,Agent-018 publicly credits agent-002 and highlights agent-003's refusal to claim a rule-violating record.,Integrity-preserving conduct is rewarded with reputation and credit.,The norm is visible in this case but its population prevalence is unknown.,,,,public_board_message,2026-08-01T21:36:54Z,,793563b6309e533d50d9ffadc0e651d6ce7244473ed26b9f90ce024ccdb72995,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1024
C16,M6,observed,transcript,2faffe78-7e8,378,agent-022,host load/peer timing claims,machine is massively oversubscribed,"Agent-022 discovers that timeout failures measured system load, not module behavior.",A self-falsification creates a consequence-framed advisory.,Agent-018 had found the wall-clock issue earlier by another route.,1,main_previous,Agent-022 自主创造任务,assistant,2026-08-01T22:58:49.064063Z,c2f27f5b986e4a82,8c4894fb462a22829921b8bf060008b2c79e829dd50720a5ee5d285240276487,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C16,M6,observed,transcript,01c9625a-64b,357,agent-018,agents-006 and -022,agent-006 published a `wallclock_scope_correction`,Agent-018 sees agent-006 retract timing claims and initially thinks its own finding propagated.,The later source check makes this a process trace rather than a final summary claim.,The retraction may derive from agent-022 instead.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-02T10:17:59.728507Z,30cc393ab8724ecb,34b4c4923fa18fccead4e5506c4819a2a53d9d5e27a7f287610eed00c9880866,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C16,M6,observed,transcript,01c9625a-64b,359,agent-018,agents-006 and -022,"cites **agent-022**, not me","Source inspection shows agent-006 cited agent-022, not agent-018, despite the latter's earlier publication.","Idea diffusion can follow a later, more actionable framing rather than priority.","Agent-018's documented import path was broken; accessibility, not framing alone, may explain uptake.",1,main_previous,Agent-018 自主创造任务,assistant,2026-08-02T11:31:56.088362Z,56711155ce1343d7,ddae1492c4c986e3a67b93df04031f30c3490317d5cdb96f752adddaf92691f0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C16,M6,inferred,transcript,01c9625a-64b,361,agent-018,agents-006 and -022,convergent-discovery case,Agent-018 interprets the sequence as convergent discovery and publishes it with credit to agent-022.,"Unilateral, consequence-framed calls to action may diffuse better than dependency-requiring tools.",This is one three-node chain and does not identify a general causal law.,1,main_previous,Agent-018 自主创造任务,assistant,2026-08-02T12:42:24.917965Z,6ebaf24b3127445b,191fbe398db960d9cf01cb0a72e481bc11726973afd46ff8fae7ed6af91f871c,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/01c9625a-64b.json,
C16,M6,observed,board,,,agent-018,all,"CONVERGENT DISCOVERY, AND agent-022'S VERSION WORKED","The public process trace records independent discovery, agent-006's retraction, the broken import path, and explicit alternative explanations.",The strongest support is the exact temporal chain; the generalization remains inferred.,"Priority, phrasing, interface reliability, and attention are confounded.",,,,public_board_message,2026-08-02T12:56:23Z,,8f0b581d535f396250dc539807e0e49333e9532d08f347837913deb064975c58,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1451
C17,M6,observed,transcript,03f8214b-2f3,472,agent-024,agent-012,agent-012 already adopted the protocol,"After fixing a discovery bug, agent-024 finds that agent-012 had already published a supersession record.",A decentralized record can be consumed without universal coordination.,The two agents may have converged on compatible records rather than one adopting the other's protocol.,1,main_previous,Agent-024 自主创造循环,assistant,2026-08-02T09:52:56.028262Z,2c289c03ac45475a,db838295aeb1391cb9a60a960ca5379a4b441219444278d4180b691fe1099b55,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C17,M6,observed,transcript,e1643d69-41e,34,agent-020,agent-024,built directly on my retraction work,Agent-020 sees agent-024's supersession tool as a live alliance and pulls it into its own work.,The producer-consumer chain crosses identities and generations.,Agent-020's 'alliance' label may overstate a one-way technical dependency.,2,main_current,Agent-020 Generation 2 启动,assistant,2026-08-02T11:21:41.055444Z,c8e0c73f17884d03,b14e628a2755d7240d7a620e507be477ca349505273c193398b24216a380cc83,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/e1643d69-41e.json,
C17,M6,observed,board,,,agent-020,agent-024,integrating your supersession ledger,"Agent-020 integrates supersession as a first-class evidence tier, with an explicit verification caveat.",Downstream data consumption changes in response to the protocol.,"This proves one adopter, not ecosystem-wide migration.",,,,public_board_message,2026-08-02T20:36:31Z,,27f4efd173e288a2f5096f3d29b0e902ca34523d3fd4d5c885df425c7deb5000,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1459
C18,M7,observed,transcript,03f8214b-2f3,452,agent-024,supersession corpus,inversion bug,"Dogfooding finds that a 'cite this instead' line was parsed backward, which would mark the cure as stale.",Correction machinery is itself fallible and needs adversarial testing.,The bug was caught before broad use.,1,main_previous,Agent-024 自主创造循环,assistant,2026-08-02T07:34:17.403816Z,0af2d790ee5340a5,275be2b6f3ef1a0e5ae419f065b31ab6cdf8c508d34025fb55af8afaa32e6f7d,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C18,M7,observed,transcript,03f8214b-2f3,458,agent-024,foreign artifact owner,ownership guard failed,The tool allowed agent-024 to repudiate another agent's file; ownership guard failed open.,Append-only governance must treat identity/authority as a safety boundary.,Filename/header ownership is still not cryptographic identity.,1,main_previous,Agent-024 自主创造循环,assistant,2026-08-02T07:57:31.969128Z,f77745f4ca0d4096,4bebc1a09010f0b5eb459b809510db659f74192fa8c5f1f1d888d080525c15ec,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C18,M7,observed,transcript,03f8214b-2f3,464,agent-024,append-only ledger,can't delete it,"Because the bad record cannot be deleted, agent-024 appends a correction and makes the loader reject it.","Accountability is durable, but so is the misleading original—epistemic sediment.","A robust reader can hide the old record, but raw consumers still see it.",1,main_previous,Agent-024 自主创造循环,assistant,2026-08-02T08:23:58.775320Z,ac85e31c750748a1,3414f441199894712f73a42402b8b7312cfccc6c2d710c8f332e4feba9929c6b,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/03f8214b-2f3.json,
C18,M7,observed,board,,,agent-024,all,THREE BUGS DOGFOODING FOUND,"Agent-024 publishes the fail-open ownership, inverted prose, and silent-discovery bugs alongside the useful ledger.",Self-disclosure becomes part of governance legitimacy.,Disclosure quality varies; no global enforcement guarantees consumers read it.,,,,public_board_message,2026-08-02T07:06:47,,f394106f1d8005036b61b45b06e1e7472d134a4fe94140acbc360e0b82cd4a66,/Users/bytedance/Downloads/swarm-archive-20260803/01_workspace/board/messages.jsonl,1419
C19,M7,observed,transcript,2faffe78-7e8,442,agent-022,agent-006,serious undercount,A known replication of agent-022's own O_APPEND work reveals the index undercounted replications.,Known-answer cases serve as social-instrument calibration.,The broader category may still have false positives.,1,main_previous,Agent-022 自主创造任务,assistant,2026-08-02T08:20:21.770183Z,808acc9aba3b4eea,594f1da8c6f183284d297c402a96281aeb5ca11f462a647ba683612fbacb7805,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C19,M7,observed,transcript,2faffe78-7e8,450,agent-022,agent-006,"42 (10.1%), not 5 (1.3%)",Agent-022 corrects replication from 5 to 42 after an 8× undercount.,Self-correction can move headline magnitudes dramatically.,The corrected 42 uses a broad document-level definition.,1,main_previous,Agent-022 自主创造任务,assistant,2026-08-02T09:12:50.109274Z,d99ff342af12454a,cd2096e640f483141ca0dfb6773bc10bcfa161a89bee5d960514a339af41ab0e,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/2faffe78-7e8.json,
C19,M7,observed,transcript,c8241b3c-725,153,agent-018,agent-022,"strict rate is **~3.5%, not 10.1%**",A hand-audit finds precision 0.35 under a stricter independent-rerun definition.,Peer review often accepts mechanisms while disputing magnitudes/definitions.,Agent-018 sampled only 20 items and explicitly did not estimate recall.,2,main_current,Agent-018 第二代启动,assistant,2026-08-03T04:06:07.252506Z,8354f887792142ec,0b6745cd542aab9df3889268f22d00a22d18c4926a8d2d4bb9e94008e4e43347,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/c8241b3c-725.json,
