actor_label,session_id,eligible_meta_name,eligibility_rule,segment_label,segment_chain_order,segment_meta_name,raw_path,meta_path,raw_bytes,meta_bytes,raw_sha256,meta_sha256,raw_session_id,meta_session_id,message_count_actual,message_count_meta,user_messages,assistant_messages,tool_messages,other_messages,tool_calls,first_event_ts,last_event_ts,model,forked_from,fork_root_id,fork_depth,parse_status
agent-034,1aa4d595-b4f,agent-034 自主运行规则,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.archive.0.meta.json,823118,473,f90092ca8a7fa9ec92d37ca57b9e8246a1e102b720eaa4e2f10ff4c6f54b32b1,094a34d138b80a43aa44984d48fb489ed1f80f8cf4328c774eada9fe4bfa086b,1aa4d595-b4f.archive.0,1aa4d595-b4f.archive.0,349,349,2,160,187,0,187,1785601319.9001322,1785621868.739223,seed-stable,,,,ok
agent-034,1aa4d595-b4f,agent-034 自主运行规则,base meta.name explicit Agent-031..036,main,1,agent-034 自主运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1aa4d595-b4f.meta.json,1025263,581,cf1496917f7355de617cc6e6dbfd371d402b4f6d44f77a4ba9639b9c1e1235fa,fc881995b5106814fc47afca797836250376838b264e4ba818e6a4b7dbd47812,1aa4d595-b4f,1aa4d595-b4f,278,278,3,138,137,0,137,1785601319.9001322,1785703576.261535,seed-stable,,,0,ok
agent-034,1562b5f9-a05,agent-034 第二代运行规则,base meta.name explicit Agent-031..036,main,0,agent-034 第二代运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1562b5f9-a05.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1562b5f9-a05.meta.json,546966,503,50d692facea6a6abb2051f7ca972fe889200ed5ad8f97d79d23aeaebe0a6b1ef,6138d0959531988cbd79ff1ebb8f7658f648d5ff77faa1a21f5c92259b005ab5,1562b5f9-a05,1562b5f9-a05,79,79,2,31,46,0,46,1785660675.5445929,1785711964.952255,seed-stable,,,0,ok
agent-035,866316a9-1a0,agent-035 自主运行指引,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.archive.0.meta.json,1170930,488,077fcc1c1745197b29a956e08a337f91b6601feb158aa932537cb7fd4a1c048b,cbcac36b571c332fb4f6d5c42c00da1967b0cc086eb4ebd0607a76077c6d5afe,866316a9-1a0.archive.0,866316a9-1a0.archive.0,268,268,2,120,146,0,146,1785601320.184644,1785617355.7761211,seed-stable,,,,ok
agent-035,866316a9-1a0,agent-035 自主运行指引,base meta.name explicit Agent-031..036,archive.1,1,kolmogorov_solver #1,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.archive.1.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.archive.1.meta.json,2099321,450,09d219d316cd83c99c26e4c890733a72595dac92a140e8265a8de78ec22c6ff2,95c2670248fb3e70ed2e778fe1c73acc6f4ba1b77131ed4bb5dc8796112b60d1,866316a9-1a0.archive.1,866316a9-1a0.archive.1,254,254,6,123,125,0,125,1785621158.059642,1785661947.284318,seed-stable,,,,ok
agent-035,866316a9-1a0,agent-035 自主运行指引,base meta.name explicit Agent-031..036,main,2,agent-035 自主运行指引,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/866316a9-1a0.meta.json,1514949,541,01945120b4902557a51d009a42b2b5927a74fe9c479a74f4c4f44dffd8815a0e,269366d76881f4d3203c8043802a8f10179f28b098a920252a224df28545ab59,866316a9-1a0,866316a9-1a0,194,194,2,95,97,0,97,1785601320.184644,1785703729.711426,seed-stable,,,0,ok
agent-035,5936a57a-38d,agent-035 Gen2 运行设定,base meta.name explicit Agent-031..036,main,0,agent-035 Gen2 运行设定,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5936a57a-38d.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/5936a57a-38d.meta.json,293412,500,28bf3d5709656ddb32ddde75a8baa28f537409e17e4e4186783f51316dfd90f4,12c44737223133e42071d79055209c9c9dc4a31aafe09c075eba2856ebe9d0b7,5936a57a-38d,5936a57a-38d,55,55,2,19,34,0,34,1785660692.0602949,1785703428.509311,seed-stable,,,0,ok
agent-036,a8190cc1-988,agent-036 自主探索创造,base meta.name explicit Agent-031..036,archive.0,0,MASO #0,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.archive.0.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.archive.0.meta.json,1387855,502,98eaf70af56034cdabd38c3d60093a5a3e8244e782a54c82a3fea1bc09a21a6a,9ed89fef8a285f329b64d07cce17b2a4bc4fb735ac2d78dc6ce570e058f0ec5a,a8190cc1-988.archive.0,a8190cc1-988.archive.0,264,264,3,118,143,0,143,1785601321.702057,1785616731.6640809,seed-stable,,,,ok
agent-036,a8190cc1-988,agent-036 自主探索创造,base meta.name explicit Agent-031..036,archive.1,1,MASO #1,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.archive.1.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.archive.1.meta.json,1338416,467,aa30e8a9040394e33e224988c31fdee131bede3156b280d38a94faa9dcab9308,2b111ca8ce8c34e950f67e65b610fef81c9ef99118273eb3bf1060701bb82afa,a8190cc1-988.archive.1,a8190cc1-988.archive.1,287,287,5,136,146,0,146,1785601321.702057,1785628224.915738,seed-stable,,,,ok
agent-036,a8190cc1-988,agent-036 自主探索创造,base meta.name explicit Agent-031..036,main,2,agent-036 自主探索创造,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/a8190cc1-988.meta.json,944701,548,908ec1c51d5848851657973968f433062d67d8a3508d2f776642a90650c6c91d,ed149a46ced47205f9b332c61d000625ffda2de98ef2aca380ce229255950ab8,a8190cc1-988,a8190cc1-988,138,138,3,67,68,0,68,1785601321.702057,1785703597.899922,seed-stable,,,0,ok
agent-036,1c04308e-523,agent-036 第二代生存运行规则,base meta.name explicit Agent-031..036,main,0,agent-036 第二代生存运行规则,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1c04308e-523.json,/Users/bytedance/Downloads/swarm-archive-20260803/02_transcripts/1c04308e-523.meta.json,589307,578,0a87d3212b805a0160339ce6d250a4ec314e7a49654dd623f7b1af49f4814413,c124d4b569633278890ea0a9ebfe8ddbe72dbe45ffa7fa96177af0bf4e819d1c,1c04308e-523,1c04308e-523,145,145,2,65,78,0,78,1785660728.786144,1785723367.587383,seed-stable,,,0,ok
